Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
62.945,1, ,* L U,0.97198277,0.98188782,1.0088%,0.009905,2
99.901,2, ,* U  ,0.97198277,0.97904358,0.7212%,0.007061,3
130.992,3, , ,0.97198277,0.97904358,0.7212%,0.007061,4
137.151,4, ,* U  ,0.97198277,0.97904358,0.7212%,0.007061,5
233.994,5, ,* L  ,0.97287615,0.97904358,0.6299%,0.006167,6
239.652,6, , ,0.97287615,0.97904358,0.6299%,0.006167,7
246.061,7, ,* L  ,0.97297492,0.97904358,0.6199%,0.006069,8
251.774,8, , ,0.97297492,0.97904358,0.6199%,0.006069,9
257.996,9, ,* L  ,0.97343082,0.97904358,0.5733%,0.005613,10
263.659,10, , ,0.97343082,0.97904358,0.5733%,0.005613,11
270.201,11, ,* L  ,0.97347658,0.97904358,0.5686%,0.005567,12
276.005,12, , ,0.97347658,0.97904358,0.5686%,0.005567,13
281.607,13, ,* L  ,0.97347695,0.97904358,0.5686%,0.005567,14
287.626,14, , ,0.97347695,0.97904358,0.5686%,0.005567,15
294.976,15, ,* L  ,0.97348378,0.97904358,0.5679%,0.00556,16
301.611,16, , ,0.97348378,0.97904358,0.5679%,0.00556,17
307.75,17, ,* L  ,0.97348407,0.97904358,0.5679%,0.00556,18
313.467,18,Bound, ,0.97348407,0.97904358,0.5679%,0.00556,17
319.57,19, ,* L U,0.97348414,0.97904318,0.5678%,0.005559,18
325.566,20, , ,0.97348414,0.97904318,0.5678%,0.005559,19
331.049,21, ,* L  ,0.97348414,0.97904318,0.5678%,0.005559,20
336.968,22, , ,0.97348414,0.97904318,0.5678%,0.005559,21
342.852,23, ,* L  ,0.97348415,0.97904318,0.5678%,0.005559,22
348.418,24, , ,0.97348415,0.97904318,0.5678%,0.005559,23
354.272,25, ,* L  ,0.97348415,0.97904318,0.5678%,0.005559,24
360.193,26, , ,0.97348415,0.97904318,0.5678%,0.005559,25
366.277,27, ,* L  ,0.97348415,0.97904318,0.5678%,0.005559,26
